Número,Descripció,Test,Operació,URI,Entrada,Estat,Capçaleres,Sortida
58,No crea un tag nou amb %,testCreateInvalidTag,POST,/tag,id=tagname%&description=DESCRIPTION,400 Bad Request,,[]
59,No crea un tag nou amb /,testCreateInvalidTag,POST,/tag,id=/tagname&description=DESCRIPTION,400 Bad Request,,[]
60,No crea un tag nou amb /,testCreateInvalidTag,POST,/tag,id=tag/name&description=DESCRIPTION,400 Bad Request,,[]
61,No crea un tag nou amb /,testCreateInvalidTag,POST,/tag,id=tagname/&description=DESCRIPTION,400 Bad Request,,[]
62,No crea un tag nou amb (,testCreateInvalidTag,POST,/tag,id=(tagname&description=DESCRIPTION,400 Bad Request,,[]
63,No crea un tag nou amb (,testCreateInvalidTag,POST,/tag,id=tag(name&description=DESCRIPTION,400 Bad Request,,[]
64,No crea un tag nou amb (,testCreateInvalidTag,POST,/tag,id=tagname(&description=DESCRIPTION,400 Bad Request,,[]
65,No No crea un tag nou amb amb ),testCreateInvalidTag,POST,/tag,id=)tagname&description=DESCRIPTION,400 Bad Request,,[]
66,No crea un tag nou amb ),testCreateInvalidTag,POST,/tag,id=tag)name&description=DESCRIPTION,400 Bad Request,,[]
67,No No crea un tag nou amb amb ),testCreateInvalidTag,POST,/tag,id=tagname)&description=DESCRIPTION,400 Bad Request,,[]
68,No crea un tag nou amb =,testCreateInvalidTag,POST,/tag,id==tagname&description=DESCRIPTION,400 Bad Request,,[]
69,No No crea un tag nou amb amb =,testCreateInvalidTag,POST,/tag,id=tag=name&description=DESCRIPTION,400 Bad Request,,[]
70,No crea un tag nou amb =,testCreateInvalidTag,POST,/tag,id=tagname=&description=DESCRIPTION,400 Bad Request,,[]
71,No crea un tag nou amb ?,testCreateInvalidTag,POST,/tag,id=?tagname&description=DESCRIPTION,400 Bad Request,,[]
72,No crea un tag nou amb ?,testCreateInvalidTag,POST,/tag,id=tag?name&description=DESCRIPTION,400 Bad Request,,[]
73,No crea un tag nou amb ?,testCreateInvalidTag,POST,/tag,id=tagname?&description=DESCRIPTION,400 Bad Request,,[]
74,No crea un tag nou amb ¿,testCreateInvalidTag,POST,/tag,id=¿tagname&description=DESCRIPTION,400 Bad Request,,[]
75,No crea un tag nou amb ¿,testCreateInvalidTag,POST,/tag,id=tag¿name&description=DESCRIPTION,400 Bad Request,,[]
76,No crea un tag nou amb ¿,testCreateInvalidTag,POST,/tag,id=tagname¿&description=DESCRIPTION,400 Bad Request,,[]
77,No crea un tag nou amb \,testCreateInvalidTag,POST,/tag,id=\tagname&description=DESCRIPTION,400 Bad Request,,[]
78,No crea un tag nou amb \,testCreateInvalidTag,POST,/tag,id=tag\name&description=DESCRIPTION,400 Bad Request,,[]
79,No crea un tag nou amb \,testCreateInvalidTag,POST,/tag,id=tagname\&description=DESCRIPTION,400 Bad Request,,[]
80,No crea un tag nou amb º,testCreateInvalidTag,POST,/tag,id=ºtagname&description=DESCRIPTION,400 Bad Request,,[]
81,No crea un tag nou amb º,testCreateInvalidTag,POST,/tag,id=tagºname&description=DESCRIPTION,400 Bad Request,,[]
82,No crea un tag nou amb º,testCreateInvalidTag,POST,/tag,id=tagnameº&description=DESCRIPTION,400 Bad Request,,[]
83,No crea un tag nou amb ª,testCreateInvalidTag,POST,/tag,id=ªtagname&description=DESCRIPTION,400 Bad Request,,[]
84,No crea un tag nou amb ª,testCreateInvalidTag,POST,/tag,id=tagªname&description=DESCRIPTION,400 Bad Request,,[]
85,No crea un tag nou amb ª,testCreateInvalidTag,POST,/tag,id=tagnameª&description=DESCRIPTION,400 Bad Request,,[]
86,No crea un tag nou amb |,testCreateInvalidTag,POST,/tag,id=|tagname&description=DESCRIPTION,400 Bad Request,,[]
87,No crea un tag nou amb |,testCreateInvalidTag,POST,/tag,id=tag|name&description=DESCRIPTION,400 Bad Request,,[]
88,No crea un tag nou amb |,testCreateInvalidTag,POST,/tag,id=tagname|&description=DESCRIPTION,400 Bad Request,,[]
89,No crea un tag nou amb <,testCreateInvalidTag,POST,/tag,id=<tagname&description=DESCRIPTION,400 Bad Request,,[]
90,No crea un tag nou amb <,testCreateInvalidTag,POST,/tag,id=tag<name&description=DESCRIPTION,400 Bad Request,,[]
91,No crea un tag nou amb <,testCreateInvalidTag,POST,/tag,id=tagname<&description=DESCRIPTION,400 Bad Request,,[]
92,No crea un tag nou amb >,testCreateInvalidTag,POST,/tag,id=>tagname&description=DESCRIPTION,400 Bad Request,,[]
93,No crea un tag nou amb >,testCreateInvalidTag,POST,/tag,id=tag>name&description=DESCRIPTION,400 Bad Request,,[]
94,No crea un tag nou amb >,testCreateInvalidTag,POST,/tag,id=tagname>&description=DESCRIPTION,400 Bad Request,,[]
95,No crea un tag nou amb ;,testCreateInvalidTag,POST,/tag,id=;tagname&description=DESCRIPTION,400 Bad Request,,[]
96,No crea un tag nou amb ;,testCreateInvalidTag,POST,/tag,id=tag;name&description=DESCRIPTION,400 Bad Request,,[]
97,No crea un tag nou amb ;,testCreateInvalidTag,POST,/tag,id=tagname;&description=DESCRIPTION,400 Bad Request,,[]
98,No crea un tag nou amb @,testCreateInvalidTag,POST,/tag,id=tagname@&description=DESCRIPTION,400 Bad Request,,[]
99,No crea un tag nou amb @,testCreateInvalidTag,POST,/tag,id=@tagname&description=DESCRIPTION,400 Bad Request,,[]
100,No crea un tag nou amb @,testCreateInvalidTag,POST,/tag,id=tag@name&description=DESCRIPTION,400 Bad Request,,[]
101,No crea un tag nou amb #,testCreateInvalidTag,POST,/tag,id=tagname#&description=DESCRIPTION,400 Bad Request,,[]
102,No crea un tag nou amb #,testCreateInvalidTag,POST,/tag,id=#tagname;&description=DESCRIPTION,400 Bad Request,,[]
103,No crea un tag nou amb #,testCreateInvalidTag,POST,/tag,id=tag#name;&description=DESCRIPTION,400 Bad Request,,[]
104,No crea un tag nou amb ¬,testCreateInvalidTag,POST,/tag,id=tagname¬&description=DESCRIPTION,400 Bad Request,,[]
105,No crea un tag nou amb ¬,testCreateInvalidTag,POST,/tag,id=tagn¬ame&description=DESCRIPTION,400 Bad Request,,[]
106,No crea un tag nou amb ¬,testCreateInvalidTag,POST,/tag,id=¬tagname&description=DESCRIPTION,400 Bad Request,,[]
107,No crea un tag nou amb ',testCreateInvalidTag,POST,/tag,id=tagname'&description=DESCRIPTION,400 Bad Request,,[]
108,No crea un tag nou amb ',testCreateInvalidTag,POST,/tag,id=tagn'ame&description=DESCRIPTION,400 Bad Request,,[]
109,No crea un tag nou amb ',testCreateInvalidTag,POST,/tag,id='tagname&description=DESCRIPTION,400 Bad Request,,[]
110,No crea un tag nou amb ¡,testCreateInvalidTag,POST,/tag,id=tagname¡&description=DESCRIPTION,400 Bad Request,,[]
111,No crea un tag nou amb ¡,testCreateInvalidTag,POST,/tag,id=tag¡name&description=DESCRIPTION,400 Bad Request,,[]
112,No crea un tag nou amb ¡,testCreateInvalidTag,POST,/tag,id=¡tagname;&description=DESCRIPTION,400 Bad Request,,[]
113,No crea un tag nou amb [,testCreateInvalidTag,POST,/tag,id=tagname]&description=DESCRIPTION,400 Bad Request,,[]
114,No crea un tag nou amb [,testCreateInvalidTag,POST,/tag,id=tagn]ame&description=DESCRIPTION,400 Bad Request,,[]
115,No crea un tag nou amb [,testCreateInvalidTag,POST,/tag,id=]tagname&description=DESCRIPTION,400 Bad Request,,[]
116,No crea un tag nou amb ],testCreateInvalidTag,POST,/tag,id=tagname[&description=DESCRIPTION,400 Bad Request,,[]
117,No crea un tag nou amb ],testCreateInvalidTag,POST,/tag,id=tagn[ame&description=DESCRIPTION,400 Bad Request,,[]
118,No crea un tag nou amb ],testCreateInvalidTag,POST,/tag,id=[tagname&description=DESCRIPTION,400 Bad Request,,[]
119,No crea un tag nou amb {,testCreateInvalidTag,POST,/tag,id=tagname{&description=DESCRIPTION,400 Bad Request,,[]
120,No crea un tag nou amb {,testCreateInvalidTag,POST,/tag,id=tagna{me&description=DESCRIPTION,400 Bad Request,,[]
121,No crea un tag nou amb {,testCreateInvalidTag,POST,/tag,id={tagname&description=DESCRIPTION,400 Bad Request,,[]
122,No crea un tag nou amb },testCreateInvalidTag,POST,/tag,id=tagname}&description=DESCRIPTION,400 Bad Request,,[]
123,No crea un tag nou amb },testCreateInvalidTag,POST,/tag,id=tagna}me&description=DESCRIPTION,400 Bad Request,,[]
124,No crea un tag nou amb },testCreateInvalidTag,POST,/tag,id=}tagname&description=DESCRIPTION,400 Bad Request,,[]
125,No crea un tag nou amb ^,testCreateInvalidTag,POST,/tag,id=tagname^&description=DESCRIPTION,400 Bad Request,,[]
126,No crea un tag nou amb ^,testCreateInvalidTag,POST,/tag,id=tag^name&description=DESCRIPTION,400 Bad Request,,[]
127,No crea un tag nou amb ^,testCreateInvalidTag,POST,/tag,id=^tagname;&description=DESCRIPTION,400 Bad Request,,[]
128,No crea un tag nou amb ç,testCreateTag,POST,/tag,id=çtagname&description=DESCRIPTION,201 Created,,[]
129,No crea un tag nou amb ç,testCreateTag,POST,/tag,id=tagçname&description=DESCRIPTION,201 Created,,[]
130,No crea un tag nou amb ç,testCreateTag,POST,/tag,id=tagnameç&description=DESCRIPTION,201 Created,,[]
131,No crea un tag nou amb ḉ,testCreateTag,POST,/tag,id=çtagna_me&description=DESCRIPTION,201 Created,,[]
132,No crea un tag nou amb ḉ,testCreateTag,POST,/tag,id=tagçn__ame&description=DESCRIPTION,201 Created,,[]
133,No crea un tag nou amb ḉ,testCreateTag,POST,/tag,id=tagnam__eç&description=DESCRIPTION,201 Created,,[]
134,No crea un tag nou amb ç i :,testCreateTag,POST,/tag,id=tagnameç:&description=DESCRIPTION,201 Created,,[]
135,No crea un tag nou amb ç i :,testCreateTag,POST,/tag,id=tagn:ameç&description=DESCRIPTION,201 Created,,[]
136,No crea un tag nou amb ç i :,testCreateTag,POST,/tag,id=:tagnameç&description=DESCRIPTION,201 Created,,[]
137,No crea un tag nou amb ù i :,testCreateTag,POST,/tag,id=tagnameù:&description=DESCRIPTION,201 Created,,[]
138,No crea un tag nou amb ù i :,testCreateTag,POST,/tag,id=tagna__meù:&description=DESCRIPTION,201 Created,,[]
139,No crea un tag nou amb ù i :,testCreateTag,POST,/tag,id=ta::gnameù:&description=DESCRIPTION,201 Created,,[]
140,No crea un tag nou amb ç i _,testCreateTag,POST,/tag,id=tagnameç_&description=DESCRIPTION,201 Created,,[]
141,No crea un tag nou amb ç i _,testCreateTag,POST,/tag,id=tagn_ameç&description=DESCRIPTION,201 Created,,[]
142,No crea un tag nou amb ç i _,testCreateTag,POST,/tag,id=_tagnameç&description=DESCRIPTION,201 Created,,[]
143,No crea un tag nou amb ù i _,testCreateTag,POST,/tag,id=tagnameù_&description=DESCRIPTION,201 Created,,[]
144,No crea un tag nou amb ù i _,testCreateTag,POST,/tag,id=tagn_ameù&description=DESCRIPTION,201 Created,,[]
145,No crea un tag nou amb ù i _,testCreateTag,POST,/tag,id=_tagnameù&description=DESCRIPTION,201 Created,,[]
146,No crea un tag nou amb ç i -,testCreateTag,POST,/tag,id=tagnameç-&description=DESCRIPTION,201 Created,,[]
147,No crea un tag nou amb ç i -,testCreateTag,POST,/tag,id=-tagnameç&description=DESCRIPTION,201 Created,,[]
148,No crea un tag nou amb ç i -,testCreateTag,POST,/tag,id=tagn-ameç&description=DESCRIPTION,201 Created,,[]
149,No crea un tag nou amb ù i -,testCreateTag,POST,/tag,id=tagnameù-&description=DESCRIPTION,201 Created,,[]
150,No crea un tag nou amb ù i -,testCreateTag,POST,/tag,id=tagn-ameù&description=DESCRIPTION,201 Created,,[]
151,No crea un tag nou amb ù i -,testCreateTag,POST,/tag,id=-tagnameù&description=DESCRIPTION,201 Created,,[]
152,No crea un tag nou amb números i :,testCreateTag,POST,/tag,id=tagname898:&description=DESCRIPTION,201 Created,,[]
153,No crea un tag nou amb números i :,testCreateTag,POST,/tag,id=tagna:me898&description=DESCRIPTION,201 Created,,[]
154,No crea un tag nou amb números i :,testCreateTag,POST,/tag,id=:tagname898&description=DESCRIPTION,201 Created,,[]
155,No crea un tag nou amb números i _,testCreateTag,POST,/tag,id=tagname898_&description=DESCRIPTION,201 Created,,[]
156,No crea un tag nou amb números i _,testCreateTag,POST,/tag,id=tagna_me898&description=DESCRIPTION,201 Created,,[]
157,No crea un tag nou amb números i _,testCreateTag,POST,/tag,id=_tagname898&description=DESCRIPTION,201 Created,,[]
158,No crea un tag nou amb números i -,testCreateTag,POST,/tag,id=tagname898-&description=DESCRIPTION,201 Created,,[]
159,No crea un tag nou amb números i -,testCreateTag,POST,/tag,id=tagn-ame898&description=DESCRIPTION,201 Created,,[]
160,No crea un tag nou amb números i -,testCreateTag,POST,/tag,id=-tagname898&description=DESCRIPTION,201 Created,,[]
161,No crea un tag nou amb á i -,testCreateTag,POST,/tag,id=-tagnameá&description=DESCRIPTION,201 Created,,[]
162,No crea un tag nou amb á i _,testCreateTag,POST,/tag,id=_tagnameá&description=DESCRIPTION,201 Created,,[]
163,No crea un tag nou amb á i :,testCreateTag,POST,/tag,id=_tagnam:eá&description=DESCRIPTION,201 Created,,[]
164,No crea un tag nou amb à i :,testCreateTag,POST,/tag,id=_tagnam:eà&description=DESCRIPTION,201 Created,,[]
165,No crea un tag nou amb à i -,testCreateTag,POST,/tag,id=-tagnameà&description=DESCRIPTION,201 Created,,[]
166,No crea un tag nou amb à i _,testCreateTag,POST,/tag,id=_tagnameà&description=DESCRIPTION,201 Created,,[]
167,No crea un tag nou amb é i :,testCreateTag,POST,/tag,id=_tagnéam:eà&description=DESCRIPTION,201 Created,,[]
168,No crea un tag nou amb é i -,testCreateTag,POST,/tag,id=-tagnéameà&description=DESCRIPTION,201 Created,,[]
169,No crea un tag nou amb é i _,testCreateTag,POST,/tag,id=_tagnaémeà&description=DESCRIPTION,201 Created,,[]
170,No crea un tag nou amb ë i :,testCreateTag,POST,/tag,id=_tagnéaëm:eà&description=DESCRIPTION,201 Created,,[]
171,No crea un tag nou amb ë i -,testCreateTag,POST,/tag,id=-tagnéaëmeà&description=DESCRIPTION,201 Created,,[]
172,No crea un tag nou amb ë i _,testCreateTag,POST,/tag,id=_tagnaémëeà&description=DESCRIPTION,201 Created,,[]
173,No crea un tag nou amb í i :,testCreateTag,POST,/tag,id=_tagnéaëmí:eà&description=DESCRIPTION,201 Created,,[]
174,No crea un tag nou amb í i -,testCreateTag,POST,/tag,id=-tagnéaëmíeà&description=DESCRIPTION,201 Created,,[]
175,No crea un tag nou amb í i _,testCreateTag,POST,/tag,id=_tagnaéímëeà&description=DESCRIPTION,201 Created,,[]
176,No crea un tag nou amb ó i :,testCreateTag,POST,/tag,id=_tagnéaëómí:eà&description=DESCRIPTION,201 Created,,[]
177,No crea un tag nou amb ó i -,testCreateTag,POST,/tag,id=-tagnéaëmóíeà&description=DESCRIPTION,201 Created,,[]
178,No crea un tag nou amb ó i _,testCreateTag,POST,/tag,id=_tagnaéímóëeà&description=DESCRIPTION,201 Created,,[]
179,No crea un tag nou amb ò i :,testCreateTag,POST,/tag,id=_taònéaëómí:eà&description=DESCRIPTION,201 Created,,[]
180,No crea un tag nou amb ò i -,testCreateTag,POST,/tag,id=-tagnéaëòóíeà&description=DESCRIPTION,201 Created,,[]
181,No crea un tag nou amb ò i _,testCreateTag,POST,/tag,id=_taònaéímóëeà&description=DESCRIPTION,201 Created,,[]
182,No crea un tag nou amb ö i :,testCreateTag,POST,/tag,id=_tònéaëómíö:eà&description=DESCRIPTION,201 Created,,[]
183,No crea un tag nou amb ö i -,testCreateTag,POST,/tag,id=-tagnéaëòöóíeà&description=DESCRIPTION,201 Created,,[]
184,No crea un tag nou amb ö i _,testCreateTag,POST,/tag,id=_taònaöéímóëeà&description=DESCRIPTION,201 Created,,[]
185,No crea un tag nou amb ï i :,testCreateTag,POST,/tag,id=_tòïéaëómíö:eà&description=DESCRIPTION,201 Created,,[]
186,No crea un tag nou amb ï i -,testCreateTag,POST,/tag,id=-ïagnéaëòöóíeà&description=DESCRIPTION,201 Created,,[]
187,No crea un tag nou amb ï i _,testCreateTag,POST,/tag,id=_aònïaöéímóëeà&description=DESCRIPTION,201 Created,,[]
188,No crea un tag nou amb ú i :,testCreateTag,POST,/tag,id=_tòïéaëóúmíö:eà&description=DESCRIPTION,201 Created,,[]
189,No crea un tag nou amb ú i -,testCreateTag,POST,/tag,id=-ïagnéaëòöóíúeà&description=DESCRIPTION,201 Created,,[]
190,No crea un tag nou amb ú i _,testCreateTag,POST,/tag,id=_ònïaöéímúóëeà&description=DESCRIPTION,201 Created,,[]
